abc,Bethel
abr,Aberdeen
abx,Albuquerque
acg,Biorka Is.
acg,Sitka
aec,Nome
ahg,Kenai
aih,Middleton Is.
akc,King Salmon
akq,Norfolk
akq,Richmond
akq,Wakefield
ama,Amarillo
amx,Miami
apd,Fairbanks
apd,Pedro Dome
apx,Gaylord
arx,La Crosse
atx,Seattle
atx,Tacoma
bbx,Beale AFB
bgm,Binghamton
bhx,Eureka
bis,Bismarck
blx,Billings
bmx,Birmingham
box,Boston
bro,Brownsville
buf,Buffalo
byx,Key West
cae,Columbia
cbw,Caribou
cbx,Boise
ccx,State College
cle,Cleveland
clx,Charleston
crp,Corpus Christi
cxx,Burlington
cys,Cheyenne
dax,Sacramento
ddc,Dodge City
dfx,Laughlin AFB
dgx,Jackson/Brandon
dix,Mt. Holly
dix,Philadelphia
dlh,Duluth
dmx,Des Moines
dox,Dover AFB
dtx,Detroit
dvn,Quad Cities
dyx,Dyess AFB
eax,Kansas City
emx,Tucson
enx,Albany
eox,Fort Rucker
epz,El Paso
esx,Las Vegas
evx,Eglin AFB
evx,NW Florida
ewx,Austin
ewx,San Antonio
eyx,Edwards AFB
fcx,Blacksburg
fcx,Roanoke
fdr,Frederick
fdx,Cannon AFB
ffc,Atlanta
ffc,Peachtree City
fsd,Sioux falls
fsx,Flagstaff
ftg,Denver/Boulder
fws,Dallas
fws,Fort Worth
ggw,Glasgow
gjx,Grand Junction
gld,Goodland
grb,Green Bay
grk,Central Texas
grr,Grand Rapids
gsp,Greenville
gsp,Greer
gsp,Spartanburg
gua,Andersen AFB
gwx,Columbus AFB
gyx,Portland
hdx,Holloman AFB
hgx,Galveston
hgx,Houston
hki,Kauai
hkm,Kohala
hmo,Molokai
hnx,Hanford
hnx,San Joaquin Vly.
hpx,Fort Cambell
htx,Nrn. Alabama
hwa,South Shore
ict,Wichita
icx,Cedar City
iln,Cincinnati
iln,Dayton
iln,Wilmington
ilx,Central IL
ind,Indianapolis
inx,Tulsa
iwa,Phoenix
iwx,Nrn. Indiana
jax,Jacksonville
jgx,Robins AFB
jkl,Jackson
jua,Puerto Rico/V.I.
lbb,Lubbock
lch,Lake Charles
lix,New Orleans
lnx,North Platte
lot,Chicago
lrx,Elko
lsx,St. Louis
ltx,Wilmington
lvx,Louisville
lwx,Baltimore
lwx,Sterling
lwx,Washington
lzk,Little Rock
maf,Midland/Odessa
max,Medford
mbx,Minot AFB
mhx,Morehead City
mkx,Milwaukee
mlb,Melbourne
mob,Mobile
mpx,Minneapolis
mqt,Marquette
mrx,Knoxville
mrx,Morristown
mrx,Tri Cities
msx,Missoula
mtx,Salt Lake City
mux,San Francisco
mvx,Grand Forks
mxx,E. Alabama
nkx,San Diego
nqa,Memphis
oax,Omaha
ohx,Nashville
okx,New York City
okx,Upton
otx,Spokane
pah,Paducah
pbz,Pittsburgh
pdt,Pendleton
poe,Fort Polk
pux,Pueblo
rax,Durham
rax,Raleigh
rgx,Reno
riw,Riverton
rlx,Charleston
rtx,Portland
sfx,Pocatello
sgf,Springfield
shv,Shreveport
sjt,San Angelo
sox,Santa Ana Mtns
srx,W. Ark./Ft. Smith
tbw,Tampa Bay Area
tfx,Great Falls
tlh,Tallahassee
tlx,Oklahoma City
twx,Topeka
tyx,Montague
udx,Rapid City
uex,Hastings
vax,Moody AFB
vbx,Vandenberg AFB
vnx,Vance AFB
vtx,Los Angeles
vwx,Evansville
yux,Yuma
